#Series_01_x	Series_01_y	Series_02_x	Series_02_y
-0.00225225	554.949	0.0810811	372.696
0.0382883	316.382	0.0833333	547.782
0.0405405	324.573	0.166667	542.662
0.0810811	336.86	0.168919	422.867
0.0810811	346.075	0.171171	528.328
0.126126	366.553	0.211712	541.638
0.128378	350.171	0.213964	441.297
0.166667	383.959	0.213964	511.945
0.168919	363.481	0.322072	477.133
0.211712	369.625	0.322072	483.276
0.213964	399.317	0.322072	534.471
0.254505	373.72	0.358108	493.515
0.256757	410.58	0.362613	533.447
0.301802	373.72	0.486486	472.014
0.306306	410.58	0.488739	524.232
0.342342	403.413	0.488739	529.352
0.344595	375.768	0.547297	532.423
0.385135	374.744	0.551802	439.249
0.385135	382.935	0.554054	540.614
0.427928	529.352	0.612613	549.829
0.43018	504.778	0.614865	539.59
0.432432	373.72	0.617117	400.341
0.488739	373.72	0.673423	548.805
0.554054	369.625	0.673423	558.021
0.614865	355.29	0.675676	349.147
0.673423	332.764	0.783784	348.123
0.704955	314.334	0.786036	552.901
0.738739	556.997	0.786036	552.901
0.786036	322.526	0.84009	391.126
0.84009	340.956	0.84009	541.638
0.887387	351.195	0.84009	547.782
0.954955	354.266	0.88964	433.106
1	489.42	0.891892	529.352
1.00225	505.802	0.896396	544.71
1.00225	541.638	0.948198	516.041
1.0045	357.338	0.95045	528.328
#		#		0.952703	467.918
