#Series_01_x	Series_01_y
0.00450311	514.283
0.0382096	50.8777
0.0404544	32.4969
0.0741772	71.1618
0.080928	95.6408
0.121396	103.672
0.12366	138.387
0.168649	172.98
0.170869	128.023
0.209099	140.163
0.211395	199.424
0.251894	219.757
0.260824	152.267
0.296799	152.158
0.301377	223.719
0.341771	154.066
0.346332	203.147
0.384513	168.259
0.388977	145.737
0.429872	407.602
0.429955	458.771
0.4317	147.652
0.492408	147.465
0.550845	137.042
0.61599	112.243
0.669836	69.0096
0.703455	31.976
0.736251	513.855
0.786653	46.0155
0.838456	80.7125
0.892487	105.16
0.944192	104.985
0.995927	113.029
0.999152	373.976
1.00181	482.877
1.00606	415.063
