#Series_01_x	Series_01_y
0.0764474	148.745
0.0786794	93.6066
0.0855538	497.9
0.166451	252.668
0.168826	450.849
0.168847	483.54
0.170891	162.757
0.213644	199.418
0.213711	283.213
0.213825	424.235
0.213868	477.373
0.319355	211.401
0.321924	475.237
0.324023	350.471
0.324043	366.834
0.355306	186.757
0.362326	387.231
0.364688	469.063
0.429449	145.612
0.486202	442.337
0.488283	350.192
0.488483	458.715
0.490156	145.424
0.547052	479.143
0.548614	145.243
0.551138	278.387
0.551525	464.8
0.611692	198.33
0.612347	483.188
0.612385	499.582
0.613737	110.201
0.667681	105.92
0.675429	501.59
0.677707	511.839
0.678833	71.0273
0.784405	46.024
0.789046	95.2508
0.790269	507.668
0.832026	181.305
0.839755	493.269
0.840723	86.8621
0.844212	478.898
0.886931	462.437
0.887013	487.075
0.890225	101.061
0.890794	271.481
0.944192	104.985
0.944977	326.817
0.952079	425.402
0.952182	454.159
0.99704	410.965
0.997309	482.88
0.999129	367.812
1.00042	110.959
